timestamp,batch_idx,step_count,chamfer_distance_batch,chamfer_distance_running_avg,f1_tau_batch,f1_tau_running_avg,f1_2tau_batch,f1_2tau_running_avg
"2026-02-02 00:22:08,589",870,870,0.000444,0.000144,0.601335,0.186245,0.763805,0.234293
"2026-02-02 00:22:15,499",875,875,0.000444,0.000144,0.600847,0.185873,0.763396,0.234107
"2026-02-02 00:22:22,610",880,880,0.000446,0.000144,0.600452,0.18566,0.762938,0.233892
"2026-02-02 00:22:29,430",885,885,0.000446,0.000143,0.600391,0.18582,0.762806,0.234041
"2026-02-02 00:22:36,654",890,890,0.000445,0.000142,0.600353,0.185979,0.762797,0.234287
"2026-02-02 00:22:43,908",895,895,0.000447,0.000143,0.59947,0.18535,0.761974,0.233761
"2026-02-02 00:22:51,054",900,900,0.000447,0.000143,0.599194,0.185309,0.761666,0.233734
"2026-02-02 00:22:58,319",905,905,0.000447,0.000142,0.599371,0.18564,0.761746,0.234021
"2026-02-02 00:23:05,339",910,910,0.000446,0.000141,0.599379,0.185804,0.761783,0.234245
"2026-02-02 00:23:12,425",915,915,0.000446,0.00014,0.599272,0.185868,0.761739,0.234386
"2026-02-02 00:23:19,368",920,920,0.000445,0.000139,0.59943,0.186109,0.761883,0.234645
"2026-02-02 00:23:26,429",925,925,0.000445,0.000139,0.599407,0.186208,0.761802,0.234729
"2026-02-02 00:23:33,703",930,930,0.000447,0.00014,0.598942,0.186012,0.761302,0.234534
"2026-02-02 00:23:40,858",935,935,0.000447,0.00014,0.598969,0.186135,0.761323,0.234676
"2026-02-02 00:23:47,881",940,940,0.000447,0.000139,0.598988,0.186244,0.761276,0.234767
"2026-02-02 00:23:54,590",945,945,0.000447,0.000139,0.598759,0.186201,0.761055,0.234749
"2026-02-02 00:24:01,821",950,950,0.000449,0.00014,0.598484,0.186134,0.760697,0.234654
"2026-02-02 00:24:08,395",955,955,0.000449,0.00014,0.598428,0.186189,0.760571,0.23469
"2026-02-02 00:24:15,069",960,960,0.000451,0.00014,0.598087,0.186091,0.760143,0.234564
"2026-02-02 00:24:21,775",965,965,0.000452,0.000141,0.598007,0.186129,0.760037,0.234609
"2026-02-02 00:24:28,872",970,970,0.000452,0.000141,0.597755,0.186081,0.75969,0.234531
"2026-02-02 00:24:36,096",975,975,0.000452,0.00014,0.597959,0.186253,0.759854,0.234703
"2026-02-02 00:24:43,118",980,980,0.000451,0.00014,0.598026,0.186352,0.759941,0.234828
"2026-02-02 00:24:50,312",985,985,0.000451,0.000139,0.598212,0.186499,0.76006,0.234961
"2026-02-02 00:24:57,312",990,990,0.00045,0.000139,0.598392,0.186636,0.760188,0.235091
"2026-02-02 00:25:04,375",995,995,0.000452,0.00014,0.598003,0.186518,0.759681,0.234936
"2026-02-02 00:25:11,496",1000,1000,0.000453,0.00014,0.597975,0.186558,0.759619,0.234978
"2026-02-02 00:25:18,520",1005,1005,0.000453,0.00014,0.59781,0.186539,0.759357,0.234935
"2026-02-02 00:25:25,834",1010,1010,0.000454,0.00014,0.597485,0.186456,0.759025,0.234864
"2026-02-02 00:25:33,103",1015,1015,0.000453,0.000139,0.597925,0.18668,0.759374,0.235067
"2026-02-02 00:25:40,265",1020,1020,0.000452,0.000139,0.598378,0.186901,0.759673,0.235241
"2026-02-02 00:25:47,572",1025,1025,0.000454,0.00014,0.598256,0.186891,0.759511,0.235232
"2026-02-02 00:25:54,842",1030,1030,0.000456,0.00014,0.598032,0.186844,0.759354,0.235224
"2026-02-02 00:26:01,883",1035,1035,0.000456,0.00014,0.597933,0.186843,0.759293,0.235251
"2026-02-02 00:26:09,089",1040,1040,0.000457,0.00014,0.597735,0.186807,0.759072,0.235219
"2026-02-02 00:26:16,196",1045,1045,0.000457,0.00014,0.598065,0.18696,0.759282,0.235342
"2026-02-02 00:26:23,278",1050,1050,0.000457,0.00014,0.598364,0.187096,0.759433,0.235439
"2026-02-02 00:26:30,478",1055,1055,0.00046,0.000141,0.598208,0.187071,0.75918,0.235393
"2026-02-02 00:26:37,534",1060,1060,0.00046,0.000141,0.59832,0.187137,0.759291,0.235472
"2026-02-02 00:26:44,658",1065,1065,0.000462,0.000141,0.5982,0.187124,0.759105,0.235448
"2026-02-02 00:26:51,351",1070,1070,0.000462,0.000141,0.59826,0.187169,0.759074,0.235476
"2026-02-02 00:26:58,466",1075,1075,0.000462,0.000141,0.598228,0.187184,0.758996,0.235488
"2026-02-02 00:27:05,849",1080,1080,0.000462,0.000141,0.597971,0.187126,0.758732,0.23544
"2026-02-02 00:27:12,993",1085,1085,0.000462,0.00014,0.598044,0.187173,0.75878,0.23549
"2026-02-02 00:27:20,218",1090,1090,0.000462,0.000141,0.597695,0.187088,0.758473,0.235429
"2026-02-02 00:27:27,530",1095,1095,0.000462,0.00014,0.597806,0.187145,0.758517,0.235477
"2026-02-02 00:27:34,770",1100,1100,0.000462,0.00014,0.598041,0.187239,0.758658,0.235552
"2026-02-02 00:27:41,786",1105,1105,0.000463,0.00014,0.597828,0.187196,0.758392,0.235504
"2026-02-02 00:27:48,684",1110,1110,0.000463,0.00014,0.597609,0.187152,0.758193,0.235477
"2026-02-02 00:27:55,954",1115,1115,0.000464,0.00014,0.597593,0.187168,0.758151,0.235495
"2026-02-02 00:28:03,201",1120,1120,0.000464,0.00014,0.597736,0.18723,0.758217,0.235544
"2026-02-02 00:28:10,069",1125,1125,0.000464,0.00014,0.597699,0.187238,0.758147,0.235553
"2026-02-02 00:28:17,019",1130,1130,0.000464,0.00014,0.597917,0.187318,0.758324,0.23563
"2026-02-02 00:28:24,069",1135,1135,0.000463,0.00014,0.597961,0.187347,0.758411,0.235681
"2026-02-02 00:28:31,145",1140,1140,0.000464,0.00014,0.597716,0.187297,0.758188,0.235645
"2026-02-02 00:28:38,147",1145,1145,0.000463,0.00014,0.597973,0.187383,0.758384,0.235724
"2026-02-02 00:28:45,237",1150,1150,0.000463,0.00014,0.597995,0.187404,0.758394,0.23575
"2026-02-02 00:28:52,060",1155,1155,0.000463,0.000139,0.597962,0.187411,0.758316,0.235753
"2026-02-02 00:28:59,210",1160,1160,0.000464,0.00014,0.597695,0.187356,0.757987,0.23569
"2026-02-02 00:29:06,321",1165,1165,0.000464,0.00014,0.597671,0.187364,0.758022,0.235721
"2026-02-02 00:29:13,353",1170,1170,0.000464,0.000139,0.597681,0.187381,0.757999,0.235738
"2026-02-02 00:29:20,301",1175,1175,0.000465,0.00014,0.597566,0.187366,0.757848,0.235721
"2026-02-02 00:29:27,340",1180,1180,0.000466,0.00014,0.596997,0.187237,0.757248,0.235592
"2026-02-02 00:29:34,368",1185,1185,0.000466,0.00014,0.596864,0.187219,0.757138,0.235586
"2026-02-02 00:29:41,423",1190,1190,0.000466,0.00014,0.597109,0.187295,0.757352,0.235661
"2026-02-02 00:29:48,169",1195,1195,0.000465,0.000139,0.597357,0.187369,0.757588,0.23574
"2026-02-02 00:29:55,201",1200,1200,0.000465,0.000139,0.597293,0.187367,0.757529,0.235745
"2026-02-02 00:30:01,898",1205,1205,0.000466,0.000139,0.597138,0.187342,0.75732,0.235714
"2026-02-02 00:30:08,950",1210,1210,0.000467,0.00014,0.596878,0.187293,0.757054,0.23567
"2026-02-02 00:30:15,968",1215,1215,0.000467,0.00014,0.596958,0.187325,0.757103,0.235701
"2026-02-02 00:30:23,134",1220,1220,0.000467,0.000139,0.597017,0.187352,0.757157,0.235733
"2026-02-02 00:30:30,189",1225,1225,0.000466,0.000139,0.596987,0.187357,0.757166,0.235753
"2026-02-02 00:30:37,357",1230,1230,0.000468,0.00014,0.596792,0.187324,0.756922,0.235715
"2026-02-02 00:30:43,946",1235,1235,0.000467,0.000139,0.59687,0.187354,0.756959,0.235741
"2026-02-02 00:30:50,535",1240,1240,0.000469,0.00014,0.59668,0.187322,0.756733,0.235707
"2026-02-02 00:30:57,239",1245,1245,0.000468,0.00014,0.596647,0.187326,0.756764,0.235731
"2026-02-02 00:31:03,822",1250,1250,0.000468,0.000139,0.596601,0.187327,0.756735,0.235742
"2026-02-02 00:31:10,783",1255,1255,0.000468,0.000139,0.596511,0.187319,0.756603,0.235729
"2026-02-02 00:31:17,157",1260,1260,0.000471,0.00014,0.596213,0.187264,0.756192,0.235655
"2026-02-02 00:31:24,279",1265,1265,0.000472,0.00014,0.595754,0.187175,0.755742,0.235573
"2026-02-02 00:31:31,197",1270,1270,0.000473,0.00014,0.595643,0.187163,0.755584,0.235556
"2026-02-02 00:31:38,334",1275,1275,0.000473,0.00014,0.595595,0.187165,0.755559,0.235568
"2026-02-02 00:31:45,410",1280,1280,0.000473,0.00014,0.595417,0.187138,0.755369,0.235543
"2026-02-02 00:31:51,990",1285,1285,0.000473,0.00014,0.595398,0.187146,0.75533,0.235552
"2026-02-02 00:31:58,775",1290,1290,0.000474,0.00014,0.595421,0.187162,0.755289,0.235559
"2026-02-02 00:32:05,824",1295,1295,0.000473,0.00014,0.595773,0.187247,0.75556,0.235632
"2026-02-02 00:32:12,753",1300,1300,0.000474,0.00014,0.595562,0.187213,0.755341,0.235601
"2026-02-02 00:32:19,870",1305,1305,0.000473,0.00014,0.595833,0.18728,0.755591,0.235668
"2026-02-02 00:32:26,838",1310,1310,0.000473,0.00014,0.595561,0.187234,0.755374,0.235638
"2026-02-02 00:32:33,630",1315,1315,0.000474,0.00014,0.595523,0.187236,0.755283,0.235634
"2026-02-02 00:32:40,450",1320,1320,0.000474,0.00014,0.595434,0.187228,0.755163,0.235624
"2026-02-02 00:32:46,960",1325,1325,0.000473,0.00014,0.595594,0.18727,0.755287,0.235663
