batch_idx,batch_cd,running_avg_cd,batch_f1_tau,running_avg_f1_tau,batch_f1_2tau,running_avg_f1_2tau
000830,0.000440,0.000167,0.602401,0.183611,0.765415,0.231139
000835,0.000441,0.000158,0.602322,0.184912,0.765267,0.232652
000840,0.000441,0.000151,0.602324,0.185834,0.765306,0.234017
000845,0.000441,0.000148,0.602172,0.186015,0.765111,0.234266
000850,0.000441,0.000147,0.601983,0.186055,0.764916,0.234428
000855,0.000441,0.000145,0.601907,0.186286,0.764793,0.234674
000860,0.000441,0.000142,0.602320,0.187254,0.765023,0.235429
000865,0.000443,0.000144,0.601703,0.186520,0.764287,0.234621
000870,0.000444,0.000144,0.601331,0.186244,0.763804,0.234293
000875,0.000444,0.000144,0.600843,0.185872,0.763395,0.234107
000880,0.000446,0.000144,0.600448,0.185659,0.762936,0.233891
000885,0.000446,0.000143,0.600387,0.185820,0.762804,0.234041
000890,0.000445,0.000142,0.600349,0.185979,0.762796,0.234287
000895,0.000447,0.000143,0.599467,0.185350,0.761973,0.233761
000900,0.000447,0.000143,0.599190,0.185309,0.761666,0.233734
000905,0.000447,0.000142,0.599368,0.185639,0.761745,0.234022
000910,0.000446,0.000141,0.599376,0.185804,0.761782,0.234245
000915,0.000446,0.000140,0.599270,0.185867,0.761738,0.234386
000920,0.000445,0.000139,0.599427,0.186109,0.761883,0.234645
000925,0.000445,0.000139,0.599404,0.186208,0.761802,0.234729
000930,0.000447,0.000140,0.598940,0.186012,0.761302,0.234535
000935,0.000447,0.000140,0.598967,0.186135,0.761322,0.234677
000940,0.000447,0.000139,0.598985,0.186244,0.761275,0.234767
000945,0.000447,0.000139,0.598757,0.186201,0.761055,0.234749
000950,0.000449,0.000140,0.598482,0.186134,0.760696,0.234654
000955,0.000449,0.000140,0.598426,0.186189,0.760570,0.234690
000960,0.000451,0.000140,0.598086,0.186090,0.760142,0.234564
000965,0.000452,0.000141,0.598005,0.186129,0.760036,0.234609
000970,0.000452,0.000141,0.597753,0.186080,0.759689,0.234531
000975,0.000452,0.000140,0.597958,0.186253,0.759853,0.234702
000980,0.000451,0.000140,0.598024,0.186351,0.759940,0.234828
000985,0.000451,0.000139,0.598210,0.186498,0.760058,0.234960
000990,0.000450,0.000139,0.598390,0.186635,0.760186,0.235090
000995,0.000452,0.000140,0.598001,0.186517,0.759679,0.234936
001000,0.000453,0.000140,0.597973,0.186558,0.759617,0.234978
001005,0.000453,0.000140,0.597808,0.186539,0.759355,0.234934
001010,0.000454,0.000140,0.597483,0.186455,0.759023,0.234863
001015,0.000453,0.000139,0.597924,0.186680,0.759372,0.235066
001020,0.000452,0.000139,0.598377,0.186900,0.759671,0.235240
001025,0.000454,0.000140,0.598254,0.186890,0.759509,0.235231
001030,0.000456,0.000140,0.598031,0.186843,0.759352,0.235223
001035,0.000456,0.000140,0.597932,0.186843,0.759290,0.235251
001040,0.000457,0.000140,0.597734,0.186806,0.759070,0.235219
001045,0.000457,0.000140,0.598064,0.186959,0.759280,0.235341
001050,0.000457,0.000140,0.598363,0.187095,0.759431,0.235438
001055,0.000460,0.000141,0.598207,0.187070,0.759178,0.235392
001060,0.000460,0.000141,0.598320,0.187137,0.759289,0.235471
001065,0.000462,0.000141,0.598200,0.187123,0.759102,0.235448
001070,0.000462,0.000141,0.598259,0.187169,0.759072,0.235476
001075,0.000462,0.000141,0.598228,0.187183,0.758994,0.235487
001080,0.000462,0.000141,0.597970,0.187125,0.758730,0.235439
001085,0.000462,0.000140,0.598044,0.187172,0.758778,0.235490
001090,0.000462,0.000141,0.597695,0.187087,0.758471,0.235429
001095,0.000462,0.000140,0.597806,0.187145,0.758515,0.235476
001100,0.000462,0.000140,0.598041,0.187238,0.758655,0.235552
001105,0.000463,0.000140,0.597827,0.187195,0.758389,0.235504
001110,0.000463,0.000140,0.597608,0.187151,0.758191,0.235476
001115,0.000464,0.000140,0.597593,0.187168,0.758149,0.235495
001120,0.000464,0.000140,0.597737,0.187229,0.758215,0.235544
001125,0.000464,0.000140,0.597700,0.187237,0.758145,0.235552
001130,0.000464,0.000140,0.597917,0.187317,0.758322,0.235630
001135,0.000463,0.000140,0.597962,0.187346,0.758409,0.235681
001140,0.000464,0.000140,0.597717,0.187296,0.758186,0.235645
001145,0.000463,0.000140,0.597973,0.187382,0.758382,0.235723
001150,0.000463,0.000140,0.597995,0.187404,0.758392,0.235750
001155,0.000463,0.000139,0.597963,0.187410,0.758314,0.235752
001160,0.000464,0.000140,0.597696,0.187355,0.757985,0.235689
001165,0.000464,0.000140,0.597672,0.187363,0.758019,0.235721
001170,0.000464,0.000139,0.597682,0.187381,0.757997,0.235737
001175,0.000465,0.000140,0.597567,0.187366,0.757846,0.235721
001180,0.000466,0.000140,0.596998,0.187236,0.757246,0.235591
001185,0.000466,0.000140,0.596865,0.187218,0.757135,0.235586
001190,0.000466,0.000140,0.597110,0.187294,0.757350,0.235661
001195,0.000465,0.000139,0.597358,0.187368,0.757586,0.235739
001200,0.000465,0.000139,0.597295,0.187366,0.757527,0.235745
001205,0.000466,0.000139,0.597139,0.187342,0.757318,0.235714
001210,0.000467,0.000140,0.596879,0.187292,0.757052,0.235670
001215,0.000467,0.000140,0.596959,0.187324,0.757100,0.235701
001220,0.000467,0.000139,0.597018,0.187351,0.757155,0.235732
001225,0.000466,0.000139,0.596988,0.187356,0.757164,0.235753
001230,0.000468,0.000140,0.596792,0.187323,0.756921,0.235714
001235,0.000467,0.000139,0.596871,0.187353,0.756957,0.235741
001240,0.000469,0.000140,0.596681,0.187321,0.756731,0.235707
001245,0.000468,0.000140,0.596648,0.187325,0.756762,0.235731
001250,0.000468,0.000139,0.596602,0.187327,0.756733,0.235741
001255,0.000468,0.000139,0.596512,0.187318,0.756601,0.235729
001260,0.000471,0.000140,0.596214,0.187263,0.756190,0.235654
001265,0.000472,0.000140,0.595755,0.187174,0.755740,0.235573
001270,0.000473,0.000140,0.595643,0.187162,0.755582,0.235556
001275,0.000473,0.000140,0.595595,0.187164,0.755557,0.235567
001280,0.000473,0.000140,0.595417,0.187137,0.755367,0.235543
001285,0.000473,0.000140,0.595399,0.187145,0.755329,0.235551
001290,0.000474,0.000140,0.595422,0.187161,0.755288,0.235559
001295,0.000473,0.000140,0.595774,0.187246,0.755559,0.235632
001300,0.000474,0.000140,0.595563,0.187212,0.755339,0.235601
001305,0.000473,0.000140,0.595835,0.187279,0.755589,0.235668
001310,0.000473,0.000140,0.595562,0.187233,0.755372,0.235638
001315,0.000474,0.000140,0.595524,0.187235,0.755281,0.235634
001320,0.000474,0.000140,0.595435,0.187227,0.755162,0.235624
001325,0.000473,0.000140,0.595595,0.187269,0.755285,0.235663
001330,0.000473,0.000140,0.595815,0.187322,0.755495,0.235719
001335,0.000472,0.000139,0.595895,0.187347,0.755504,0.235734
001340,0.000472,0.000139,0.595838,0.187344,0.755484,0.235743
001345,0.000473,0.000139,0.595944,0.187374,0.755449,0.235749
001350,0.000473,0.000139,0.595703,0.187335,0.755200,0.235713
001355,0.000475,0.000140,0.595098,0.187226,0.754590,0.235606
001360,0.000475,0.000140,0.595356,0.187285,0.754745,0.235649
001365,0.000474,0.000140,0.595395,0.187300,0.754795,0.235672
001370,0.000474,0.000139,0.595565,0.187341,0.754904,0.235705
001375,0.000474,0.000139,0.595582,0.187352,0.754913,0.235719
001380,0.000474,0.000139,0.595545,0.187353,0.754875,0.235723
001385,0.000476,0.000140,0.595251,0.187305,0.754518,0.235668
001390,0.000476,0.000140,0.595270,0.187317,0.754551,0.235685
001395,0.000476,0.000140,0.595086,0.187290,0.754363,0.235662
001400,0.000476,0.000140,0.595178,0.187315,0.754466,0.235693
001405,0.000475,0.000139,0.595370,0.187358,0.754599,0.235728
001410,0.000476,0.000139,0.595176,0.187330,0.754430,0.235708
001415,0.000476,0.000139,0.595096,0.187322,0.754305,0.235696
001420,0.000476,0.000139,0.594942,0.187301,0.754135,0.235676
001425,0.000476,0.000139,0.595201,0.187356,0.754337,0.235724
001430,0.000475,0.000139,0.595256,0.187372,0.754424,0.235750
001435,0.000475,0.000139,0.595571,0.187436,0.754657,0.235802
001440,0.000475,0.000139,0.595887,0.187499,0.754918,0.235858
001445,0.000476,0.000139,0.595463,0.187429,0.754478,0.235789
001450,0.000477,0.000139,0.595154,0.187381,0.754152,0.235741
001455,0.000477,0.000139,0.595065,0.187371,0.754079,0.235738
001460,0.000478,0.000139,0.594975,0.187362,0.753970,0.235729
